"模型ID","计费单元","说明","标价(元)","单位"
"glm-5.1","glm-5.1_[0, 32)_Cache Writes","缓存写入 (1h) - 输入长度(0, 32K]","0","百万 Token"
"glm-5.1","glm-5.1_[32+)_input","输入 - 输入长度(32K, 200K]","8","百万 Token"
"glm-5.1","glm-5.1_[32+)_output","文本输出 - 输入长度(32K, 200K]","28","百万 Token"
"glm-5.1","glm-5.1_[32+)_cache","缓存读取 - 输入长度(32K, 200K]","2","百万 Token"
"glm-5.1","glm-5.1_[32+)_Cache Writes","缓存写入 (5m) - 输入长度(32K, 200K]","0","百万 Token"
"glm-5.1","glm-5.1_[32+)_Cache Writes","缓存写入 (1h) - 输入长度(32K, 200K]","0","百万 Token"
"glm-5.2","glm-5.2_text_input_standard","输入 - 默认","8","百万 Token"
"glm-5.2","glm-5.2_text_cache read_standard","缓存 - 默认","2","百万 Token"
"glm-5.2","glm-5.2_text_output_standard","文本输出 - 默认","28","百万 Token"
"glm-5v-turbo","glm-5v-turbo_input_[0, 32)","输入 - 输入长度(0, 32K]","5","百万 Token"
"glm-5v-turbo","glm-5v-turbo_cache_[0, 32)","缓存 - 输入长度(0, 32K]","1.2","百万 Token"
"glm-5v-turbo","glm-5v-turbo_output_[0, 32)","文本输出 - 输入长度(0, 32K]","22","百万 Token"
"glm-5v-turbo","glm-5v-turbo_input_[32+)","输入 - 输入长度(32K, 200K]","7","百万 Token"
"glm-5v-turbo","glm-5v-turbo_cache_[32+)","缓存 - 输入长度(32K, 200K]","1.8","百万 Token"
"glm-5v-turbo","glm-5v-turbo_output_[32+)","文本输出 - 输入长度(32K, 200K]","26","百万 Token"
"happyhorse-1.0-i2v","happyhorse-1.0-i2v_1080P_video output","视频时长 - 1080p","1.6","秒"
"happyhorse-1.0-i2v","happyhorse-1.0-i2v_720P_video output","视频时长 - 720p","0.9","秒"
"happyhorse-1.0-r2v","happyhorse-1.0-r2v_1080P_video output","视频时长 - 1080p","1.6","秒"
"happyhorse-1.0-r2v","happyhorse-1.0-r2v_720P_video output","视频时长 - 720p","0.9","秒"
"happyhorse-1.0-t2v","happyhorse-1.0-t2v_1080P_video output","视频时长 - 1080p","1.6","秒"
"happyhorse-1.0-t2v","happyhorse-1.0-t2v_720P_video output","视频时长 - 720p","0.9","秒"
"happyhorse-1.0-video-edit","happyhorse-1.0-video-edit_1080P_video output","视频时长 - 1080p","1.6","秒"
"happyhorse-1.0-video-edit","happyhorse-1.0-video-edit_720P_video output","视频时长 - 720p","0.9","秒"
"happyhorse-1.1-i2v","happyhorse-1.1-i2v_video_output_standard_1080p","视频时长 - 1080p","1.2","秒"
"happyhorse-1.1-i2v","happyhorse-1.1-i2v_video_output_standard_720p","视频时长 - 720p","0.9","秒"
"happyhorse-1.1-r2v","happyhorse-1.1-r2v_video_output_standard_1080p","视频时长 - 1080p","1.2","秒"
"happyhorse-1.1-r2v","happyhorse-1.1-r2v_video_output_standard_720p","视频时长 - 720p","0.9","秒"
"happyhorse-1.1-t2v","happyhorse-1.1-t2v_video_output_standard_1080p","视频时长 - 1080p","1.2","秒"
"happyhorse-1.1-t2v","happyhorse-1.1-t2v_video_output_standard_720p","视频时长 - 720p","0.9","秒"
"kimi-k2.6","kimi-k2.6_input","输入 - 默认","6.5","百万 Token"
"kimi-k2.6","kimi-k2.6_cache read","缓存 - 默认","1.1","百万 Token"
"kimi-k2.6","kimi-k2.6_output","文本输出 - 默认","27","百万 Token"
"kimi-k2.7-code","kimi-k2.7-code_input","输入 - 默认","6.5","百万 Token"
"kimi-k2.7-code","kimi-k2.7-code_cache read","缓存 - 默认","1.3","百万 Token"
"kimi-k2.7-code","kimi-k2.7-code_output","文本输出 - 默认","27","百万 Token"
"kling-v2-6","kling-v2-6_pro_10s_silent_unspecified voice timbre","视频时长 - duration=10 且 sound=offsound 且 voice_list=withoutvoice","0.5","秒"
"kling-v2-6","kling-v2-6_pro_10s_with audio_unspecified voice timbre","视频时长 - duration=10 且 sound=onsound 且 voice_list=withoutvoice","1","秒"
"kling-v2-6","kling-v2-6_pro_10s_with audio_specified vocal tone","视频时长 - duration=10 且 sound=onsound 且 voice_list=withvoice","1.2","秒"
"kling-v2-6","kling-v2-6_pro_5s_silent_unspecified voice timbre","视频时长 - duration=5 且 sound=offsound 且 voice_list=withoutvoice","0.5","秒"
"kling-v2-6","kling-v2-6_pro_5s_with audio_unspecified voice timbre","视频时长 - duration=5 且 sound=onsound 且 voice_list=withoutvoice","1","秒"
"kling-v2-6","kling-v2-6_pro_5s_with audio_specified vocal tone","视频时长 - duration=5 且 sound=onsound 且 voice_list=withvoice","1.2","秒"
"kling-v3","kling-v3_4K_silent","视频时长 - variant=i2v 且 mode=4k 且 sound=offsound","3","秒"
"kling-v3","kling-v3_4K_with sound","视频时长 - variant=i2v 且 mode=4k 且 sound=onsound","3","秒"
"kling-v3","kling-v3_pro_silent","视频时长 - variant=i2v 且 mode=pro 且 sound=offsound","0.8","秒"
"kling-v3","kling-v3_pro_with sound","视频时长 - variant=i2v 且 mode=pro 且 sound=onsound","1.2","秒"
"kling-v3","kling-v3_std_silent","视频时长 - variant=i2v 且 mode=std 且 sound=offsound","0.6","秒"
"kling-v3","kling-v3_std_with sound","视频时长 - variant=i2v 且 mode=std 且 sound=onsound","0.9","秒"
"kling-v3","kling-v3_4K_silent","视频时长 - variant=mc 且 mode=4k 且 sound=offsound","3","秒"
"kling-v3","kling-v3_4K_with sound","视频时长 - variant=mc 且 mode=4k 且 sound=onsound","3","秒"
"kling-v3","kling-v3_motion control_pro","视频时长 - variant=mc 且 mode=pro 且 sound=offsound","1.2","秒"
"kling-v3","kling-v3_motion control_pro","视频时长 - variant=mc 且 mode=pro 且 sound=onsound","1.2","秒"
"kling-v3","kling-v3_motion control_std","视频时长 - variant=mc 且 mode=std 且 sound=offsound","0.9","秒"
"kling-v3","kling-v3_motion control_std","视频时长 - variant=mc 且 mode=std 且 sound=onsound","0.9","秒"
"kling-v3","kling-v3_4K_silent","视频时长 - variant=t2v 且 mode=4k 且 sound=offsound","3","秒"
"kling-v3","kling-v3_4K_with sound","视频时长 - variant=t2v 且 mode=4k 且 sound=onsound","3","秒"
"kling-v3","kling-v3_pro_silent","视频时长 - variant=t2v 且 mode=pro 且 sound=offsound","0.8","秒"
"kling-v3","kling-v3_pro_with sound","视频时长 - variant=t2v 且 mode=pro 且 sound=onsound","1.2","秒"
"kling-v3","kling-v3_std_silent","视频时长 - variant=t2v 且 mode=std 且 sound=offsound","0.6","秒"
"kling-v3","kling-v3_std_with sound","视频时长 - variant=t2v 且 mode=std 且 sound=onsound","0.9","秒"
"kling-v3-omni","kling-v3-omni_4K_Without Reference_Without Sound","视频时长 - mode=4k 且 reference=noref 且 sound=offsound","3","秒"
"kling-v3-omni","kling-v3-omni_4K_Without Reference_With Sound","视频时长 - mode=4k 且 reference=noref 且 sound=onsound","3","秒"
"kling-v3-omni","kling-v3-omni_pro_Without Reference_Without Sound","视频时长 - mode=pro 且 reference=noref 且 sound=offsound","0.8","秒"
"kling-v3-omni","kling-v3-omni_pro_Without Reference_With Sound","视频时长 - mode=pro 且 reference=noref 且 sound=onsound","1","秒"
"kling-v3-omni","kling-v3-omni_pro_With Reference_Without Sound","视频时长 - mode=pro 且 reference=ref 且 sound=offsound","1.2","秒"
"kling-v3-omni","kling-v3-omni_std_Without Reference_Without Sound","视频时长 - mode=std 且 reference=noref 且 sound=offsound","0.6","秒"
"kling-v3-omni","kling-v3-omni_std_Without Reference_With Sound","视频时长 - mode=std 且 reference=noref 且 sound=onsound","0.8","秒"
"kling-v3-omni","kling-v3-omni_std_With Reference_Without Sound","视频时长 - mode=std 且 reference=ref 且 sound=offsound","0.9","秒"
"kling-video-o1","kling-video-o1_pro_no reference video","视频时长 - mode=pro 且 video=withoutvideo","0.8","秒"
"kling-video-o1","kling-video-o1_pro_with reference video","视频时长 - mode=pro 且 video=withvideo","1.2","秒"
"kling-video-o1","kling-video-o1_std_no reference video","视频时长 - mode=std 且 video=withoutvideo","0.6","秒"
"kling-video-o1","kling-video-o1_std_with reference video","视频时长 - mode=std 且 video=withvideo","0.9","秒"
"mimo-v2.5","mimo-v2.5_0< Token ≤ 256 K_input","输入 - 输入长度(0, 256K]","2.8","百万 Token"
"mimo-v2.5","mimo-v2.5_0< Token ≤ 256 K_cached","缓存 - 输入长度(0, 256K]","0.56","百万 Token"
"mimo-v2.5","mimo-v2.5_0< Token ≤ 256 K_output","文本输出 - 输入长度(0, 256K]","14","百万 Token"
"mimo-v2.5","mimo-v2.5_256K < Token ≤ 1 M_input","输入 - 输入长度(256K, 1M]","5.6","百万 Token"
"mimo-v2.5","mimo-v2.5_256K < Token ≤ 1 M_cached","缓存 - 输入长度(256K, 1M]","1.12","百万 Token"
"mimo-v2.5","mimo-v2.5_256K < Token ≤ 1 M_output","文本输出 - 输入长度(256K, 1M]","28","百万 Token"
"mimo-v2.5-pro","mimo-v2.5-pro_0< Token ≤ 256 K_input","输入 - 输入长度(0, 256K]","7","百万 Token"
"mimo-v2.5-pro","mimo-v2.5-pro_0< Token ≤ 256 K_cached","缓存 - 输入长度(0, 256K]","1.4","百万 Token"
"mimo-v2.5-pro","mimo-v2.5-pro_0< Token ≤ 256 K_output","文本输出 - 输入长度(0, 256K]","21","百万 Token"
"mimo-v2.5-pro","mimo-v2.5-pro_256K < Token ≤ 1 M_input","输入 - 输入长度(256K, 1M]","14","百万 Token"
"mimo-v2.5-pro","mimo-v2.5-pro_256K < Token ≤ 1 M_cached","缓存 - 输入长度(256K, 1M]","2.8","百万 Token"
"mimo-v2.5-pro","mimo-v2.5-pro_256K < Token ≤ 1 M_output","文本输出 - 输入长度(256K, 1M]","42","百万 Token"
"moonshot/kimi-k2.5","kimi-k2.5_input","输入 - 默认","4","百万 Token"
"moonshot/kimi-k2.5","kimi-k2.5_cached input","缓存 - 默认","0.7","百万 Token"
"moonshot/kimi-k2.5","kimi-k2.5_output","文本输出 - 默认","21","百万 Token"
"moonshotai/Kimi-K2-Instruct","Kimi-K2-Instruct-input","输入 - 默认","4","百万 Token"
"moonshotai/Kimi-K2-Instruct","Kimi-K2-Instruct-output","文本输出 - 默认","16","百万 Token"
"moonshotai/kimi-k2.5","kimi-k2.5_input","输入 - 默认","4","百万 Token"
"moonshotai/kimi-k2.5","kimi-k2.5_cached input","缓存 - 默认","0.7","百万 Token"
"moonshotai/kimi-k2.5","kimi-k2.5_output","文本输出 - 默认","21","百万 Token"
"qwen-mt-flash","qwen-mt-flash_text_input_standard","输入 - 默认","0.7","百万 Token"
"qwen-mt-flash","qwen-mt-flash_text_output_standard","文本输出 - 默认","1.95","百万 Token"
"qwen3-30b-a3b","qwen3-30b-a3b-input","输入 - 默认","0.75","百万 Token"
"qwen3-30b-a3b","qwen3-30b-a3b-output","文本输出 - 默认","3","百万 Token"
"qwen3-coder-30b-a3b-instruct","qwen3-coder-30b-a3b-instruct_text_input_standard_input≤32k","输入 - 输入长度(0, 32K]","1.5","百万 Token"
"qwen3-coder-30b-a3b-instruct","qwen3-coder-30b-a3b-instruct_text_output_standard_input≤32k","文本输出 - 输入长度(0, 32K]","6","百万 Token"
"qwen3-coder-30b-a3b-instruct","qwen3-coder-30b-a3b-instruct_text_input_standard_32k<input≤128k","输入 - 输入长度(32K, 128K]","2.25","百万 Token"
"qwen3-coder-30b-a3b-instruct","qwen3-coder-30b-a3b-instruct_text_output_standard_32k<input≤128k","文本输出 - 输入长度(32K, 128K]","9","百万 Token"
"qwen3-coder-30b-a3b-instruct","qwen3-coder-30b-a3b-instruct_text_input_standard_128k<input≤256k","输入 - 输入长度(128K, 256K]","3.75","百万 Token"
"qwen3-coder-30b-a3b-instruct","qwen3-coder-30b-a3b-instruct_text_output_standard_128k<input≤256k","文本输出 - 输入长度(128K, 256K]","15","百万 Token"
"qwen3-coder-30b-a3b-instruct","qwen3-coder-30b-a3b-instruct_text_input_standard_256k<input≤1m","输入 - 输入长度(256K, 1M]","7.5","百万 Token"
"qwen3-coder-30b-a3b-instruct","qwen3-coder-30b-a3b-instruct_text_output_standard_256k<input≤1m","文本输出 - 输入长度(256K, 1M]","37.5","百万 Token"
"qwen3-coder-plus","qwen3-coder-plus_text_input_standard_input≤32k","输入 - 输入长度(0, 32K]","4","百万 Token"
"qwen3-coder-plus","qwen3-coder-plus_text_cache read_standard_input≤32k","缓存 - 输入长度(0, 32K]","0.8","百万 Token"
"qwen3-coder-plus","qwen3-coder-plus_text_output_standard_input≤32k","文本输出 - 输入长度(0, 32K]","16","百万 Token"
"qwen3-coder-plus","qwen3-coder-plus_text_input_standard_32k<input≤128k","输入 - 输入长度(32K, 128K]","6","百万 Token"
"qwen3-coder-plus","qwen3-coder-plus_text_cache read_standard_32k<input≤128k","缓存 - 输入长度(32K, 128K]","1.2","百万 Token"
"qwen3-coder-plus","qwen3-coder-plus_text_output_standard_32k<input≤128k","文本输出 - 输入长度(32K, 128K]","24","百万 Token"
"qwen3-coder-plus","qwen3-coder-plus_text_input_standard_128k<input≤256k","输入 - 输入长度(128K, 256K]","10","百万 Token"
"qwen3-coder-plus","qwen3-coder-plus_text_cache read_standard_128k<input≤256k","缓存 - 输入长度(128K, 256K]","2","百万 Token"
"qwen3-coder-plus","qwen3-coder-plus_text_output_standard_128k<input≤256k","文本输出 - 输入长度(128K, 256K]","40","百万 Token"
"qwen3-coder-plus","qwen3-coder-plus_text_input_standard_256k<input≤1m","输入 - 输入长度(256K, 1M]","20","百万 Token"
"qwen3-coder-plus","qwen3-coder-plus_text_cache read_standard_256k<input≤1m","缓存 - 输入长度(256K, 1M]","4","百万 Token"
"qwen3-coder-plus","qwen3-coder-plus_text_output_standard_256k<input≤1m","文本输出 - 输入长度(256K, 1M]","200","百万 Token"
"qwen3-embedding-8b","qwen3-embedding-8b_input","输入 - 默认","0.28","百万 Token"
"qwen3-embedding-8b","qwen3-embedding-8b_output","文本输出 - 默认","0","百万 Token"
"qwen3-max-preview","qwen3-max-preview_text_input_standard_input≤32k","输入 - 输入长度(0, 32K]","6","百万 Token"
"qwen3-max-preview","qwen3-max-preview_text_cache read_standard_input≤32k","缓存 - 输入长度(0, 32K]","1.2","百万 Token"
"qwen3-max-preview","qwen3-max-preview_text_output_standard_input≤32k","文本输出 - 输入长度(0, 32K]","24","百万 Token"
"qwen3-max-preview","qwen3-max-preview_text_input_standard_32k<input≤128k","输入 - 输入长度(32K, 128K]","10","百万 Token"
"qwen3-max-preview","qwen3-max-preview_text_cache read_standard_32k<input≤128k","缓存 - 输入长度(32K, 128K]","2","百万 Token"
"qwen3-max-preview","qwen3-max-preview_text_output_standard_32k<input≤128k","文本输出 - 输入长度(32K, 128K]","40","百万 Token"
"qwen3-max-preview","qwen3-max-preview_text_input_standard_128k<input≤256k","输入 - 输入长度(128K, 252K]","15","百万 Token"
"qwen3-max-preview","qwen3-max-preview_text_cache read_standard_128k<input≤256k","缓存 - 输入长度(128K, 252K]","3","百万 Token"
"qwen3-max-preview","qwen3-max-preview_text_output_standard_128k<input≤256k","文本输出 - 输入长度(128K, 252K]","60","百万 Token"
"qwen3-reranker-8b","qwen3-reranker-8b_input","输入 - 默认","0.28","百万 Token"
"qwen3-reranker-8b","qwen3-reranker-8b_output","文本输出 - 默认","0","百万 Token"
"qwen3-tts-flash","qwen3-tts-flash_input","输入 - 默认","0.00008","字符"
"qwen3-tts-flash","qwen3-tts-flash_input","文本输出 - 默认","0.00008","字符"
"qwen3-vl-flash","qwen3-vl-flash_input_text(128K-256K)_batch","输入 - 输入长度(0, 32K]","0.3","百万 Token"
"qwen3-vl-flash","qwen3-vl-flash_text_cache read_standard_input<32k","缓存 - 输入长度(0, 32K]","0.03","百万 Token"
"qwen3-vl-flash","qwen3-vl-flash_output_text(<32K)_batch","文本输出 - 输入长度(0, 32K]","0.75","百万 Token"
"qwen3-vl-flash","qwen3-vl-flash_input_text(128K-256K)_batch","输入 - 输入长度(0, 32K] 且 is_batch","0.3","百万 Token"
"qwen3-vl-flash","qwen3-vl-flash_text_cache read_standard_input<32k","缓存 - 输入长度(0, 32K] 且 is_batch","0.03","百万 Token"
"qwen3-vl-flash","qwen3-vl-flash_output_text(<32K)_batch","文本输出 - 输入长度(0, 32K] 且 is_batch","0.75","百万 Token"
"qwen3-vl-flash","qwen3-vl-flash_input_text(128K-256K)_batch","输入 - 输入长度(32K, 128K]","0.3","百万 Token"
"qwen3-vl-flash","qwen3-vl-flash_text_cache read_standard_32k<input<128k","缓存 - 输入长度(32K, 128K]","0.06","百万 Token"
"qwen3-vl-flash","qwen3-vl-flash_output_text(<32K)_batch","文本输出 - 输入长度(32K, 128K]","0.75","百万 Token"
"qwen3-vl-flash","qwen3-vl-flash_input_text(128K-256K)_batch","输入 - 输入长度(32K, 128K] 且 is_batch","0.3","百万 Token"
"qwen3-vl-flash","qwen3-vl-flash_text_cache read_standard_32k<input<128k","缓存 - 输入长度(32K, 128K] 且 is_batch","0.06","百万 Token"
"qwen3-vl-flash","qwen3-vl-flash_output_text(<32K)_batch","文本输出 - 输入长度(32K, 128K] 且 is_batch","0.75","百万 Token"
"qwen3-vl-flash","qwen3-vl-flash_input_text(128K-256K)_batch","输入 - 输入长度(128K, 256K]","0.3","百万 Token"
"qwen3-vl-flash","qwen3-vl-flash_text_cache read_standard_128k<input<256k","缓存 - 输入长度(128K, 256K]","0.12","百万 Token"
"qwen3-vl-flash","qwen3-vl-flash_output_text(<32K)_batch","文本输出 - 输入长度(128K, 256K]","0.75","百万 Token"
"qwen3-vl-flash","qwen3-vl-flash_input_text(128K-256K)_batch","输入 - 输入长度(128K, 256K] 且 is_batch","0.3","百万 Token"
"qwen3-vl-flash","qwen3-vl-flash_text_cache read_standard_128k<input<256k","缓存 - 输入长度(128K, 256K] 且 is_batch","0.12","百万 Token"
"qwen3-vl-flash","qwen3-vl-flash_output_text(<32K)_batch","文本输出 - 输入长度(128K, 256K] 且 is_batch","0.75","百万 Token"
"qwen3.5-plus","qwen3.5-plus_input<=128k_input","输入 - 输入长度(0, 128K]","0.8","百万 Token"
"qwen3.5-plus","qwen3.5-plus_input<=128k_output","文本输出 - 输入长度(0, 128K]","4.8","百万 Token"
"qwen3.5-plus","qwen3.5-plus_input<=128k_cache read","缓存读取 - 输入长度(0, 128K]","0.08","百万 Token"
"qwen3.5-plus","qwen3.5-plus_input<=128k_cache write","缓存写入 (5m) - 输入长度(0, 128K]","1","百万 Token"
"qwen3.5-plus","qwen3.5-plus_input<=128k_cache write","缓存写入 (1h) - 输入长度(0, 128K]","1","百万 Token"
"qwen3.5-plus","qwen3.5-plus_128k<input<=256k_input","输入 - 输入长度(128K, 256K]","2","百万 Token"
"qwen3.5-plus","qwen3.5-plus_128k<input<=256k_output","文本输出 - 输入长度(128K, 256K]","12","百万 Token"
"qwen3.5-plus","qwen3.5-plus_128k<input<=256k_cache read","缓存读取 - 输入长度(128K, 256K]","0.2","百万 Token"
"qwen3.5-plus","qwen3.5-plus_128k<input<=256k_cache write","缓存写入 (5m) - 输入长度(128K, 256K]","2.5","百万 Token"
"qwen3.5-plus","qwen3.5-plus_128k<input<=256k_cache write","缓存写入 (1h) - 输入长度(128K, 256K]","2.5","百万 Token"
"qwen3.5-plus","qwen3.5-plus_256k<input<=1m_input","输入 - 输入长度(256K, 1M]","4","百万 Token"
"qwen3.5-plus","qwen3.5-plus_256k<input<=1m_output","文本输出 - 输入长度(256K, 1M]","24","百万 Token"
"qwen3.5-plus","qwen3.5-plus_256k<input<=1m_cache read","缓存读取 - 输入长度(256K, 1M]","0.4","百万 Token"
"qwen3.5-plus","qwen3.5-plus_256k<input<=1m_cache write","缓存写入 (5m) - 输入长度(256K, 1M]","5","百万 Token"
"qwen3.5-plus","qwen3.5-plus_256k<input<=1m_cache write","缓存写入 (1h) - 输入长度(256K, 1M]","5","百万 Token"
"qwen3.6-35b-a3b","qwen3.6-35b-a3b_input","输入 - 默认","1.8","百万 Token"
"qwen3.6-35b-a3b","qwen3.6-35b-a3b_output","文本输出 - 默认","10.8","百万 Token"
"qwen3.6-plus","qwen3.6-plus_input_≤256K","输入 - 输入长度(0, 256K]","2","百万 Token"
"qwen3.6-plus","qwen3.6-plus_output_≤256K","文本输出 - 输入长度(0, 256K]","12","百万 Token"
"qwen3.6-plus","qwen3.6-plus_cache read_≤256K","缓存读取 - 输入长度(0, 256K]","0.2","百万 Token"
"qwen3.6-plus","qwen3.6-plus_cache write_≤256K","缓存写入 (5m) - 输入长度(0, 256K]","2.5","百万 Token"
"qwen3.6-plus","qwen3.6-plus_input_＞256K","输入 - 输入长度(256K, 1M]","8","百万 Token"
"qwen3.6-plus","qwen3.6-plus_output_＞256K","文本输出 - 输入长度(256K, 1M]","48","百万 Token"
"qwen3.6-plus","qwen3.6-plus_cache read_＞256K","缓存读取 - 输入长度(256K, 1M]","0.8","百万 Token"
"qwen3.6-plus","qwen3.6-plus_cache write_＞256K","缓存写入 (5m) - 输入长度(256K, 1M]","10","百万 Token"
"qwen3.7-max","qwen3.7-max_input","输入 - 默认","12","百万 Token"
"qwen3.7-max","qwen3.7-max_output","文本输出 - 默认","36","百万 Token"
"qwen3.7-max","qwen3.7-max_cache read","缓存读取 - 默认","1.2","百万 Token"
"qwen3.7-max","qwen3.7-max_Cache Writes","缓存写入 (5m) - 默认","15","百万 Token"
"qwen3.7-plus","qwen3.7-plus_input_≤256K","输入 - 输入长度(0, 256K]","2","百万 Token"
"qwen3.7-plus","qwen3.7-plus_output_≤256K","文本输出 - 输入长度(0, 256K]","8","百万 Token"
"qwen3.7-plus","qwen3.7-plus_cache read_≤256K","缓存读取 - 输入长度(0, 256K]","0.2","百万 Token"
"qwen3.7-plus","qwen3.7-plus_cache write_≤256K","缓存写入 (5m) - 输入长度(0, 256K]","2.5","百万 Token"
"qwen3.7-plus","qwen3.7-plus_input_＞256K","输入 - 输入长度(256K, 1M]","6","百万 Token"
"qwen3.7-plus","qwen3.7-plus_output_＞256K","文本输出 - 输入长度(256K, 1M]","24","百万 Token"
"qwen3.7-plus","qwen3.7-plus_cache read_＞256K","缓存读取 - 输入长度(256K, 1M]","0.6","百万 Token"
"qwen3.7-plus","qwen3.7-plus_cache write_＞256K","缓存写入 (5m) - 输入长度(256K, 1M]","7.5","百万 Token"
"speech-02-hd","speech-02-hd_Synchronous speech synthesis","输入 - 默认","350","百万 Token"
"speech-02-hd","免费产品","文本输出 - 默认","0","百万 Token"
"speech-02-turbo","speech-02-turbo_Synchronous speech synthesis","输入 - 默认","200","百万 Token"
"speech-02-turbo","免费产品","文本输出 - 默认","0","百万 Token"
"speech-2.6-hd","speech-2.6-hd_Synchronous speech synthesis","输入 - 默认","350","百万 Token"
"speech-2.6-hd","免费产品","文本输出 - 默认","0","百万 Token"
"speech-2.6-turbo","speech-2.6-turbo_Synchronous speech synthesis","输入 - 默认","200","百万 Token"
"speech-2.6-turbo","免费产品","文本输出 - 默认","0","百万 Token"
"speech-2.8-hd","speech-2.8-hd_Synchronous speech synthesis","输入 - 默认","350","百万 Token"
"speech-2.8-hd","免费产品","文本输出 - 默认","0","百万 Token"
"speech-2.8-turbo","speech-2.8-turbo_Synchronous speech synthesis","输入 - 默认","200","百万 Token"
"speech-2.8-turbo","免费产品","文本输出 - 默认","0","百万 Token"
"vidu-lip-sync","Vidu 对口型","视频时长 - 默认","0.125","秒"
"vidu-mv","vidu-mv_generate&edit_1080p","视频时长 - 1080p","0.3125","秒"
"vidu-mv","vidu-mv_generate&edit_540p","视频时长 - 540p","0.1875","秒"
"vidu-mv","vidu-mv_generate&edit_720p","视频时长 - 720p","0.25","秒"
"viduq2","Reference2Video-Q2-1080p-1s","视频时长 - vidu_type=reference2video 且 1080p 且 duration=1","2.34","秒"
"viduq2","viduq2_audio and video direct output","音频数量 - vidu_type=reference2video 且 1080p 且 duration=1","0.46875","次"
"viduq2","Reference2Video-Q2-1080p-10s","视频时长 - vidu_type=reference2video 且 1080p 且 duration=10","0.578","秒"
"viduq2","viduq2_audio and video direct output","音频数量 - vidu_type=reference2video 且 1080p 且 duration=10","0.46875","次"
"viduq2","Reference2Video-Q2-1080p-2s","视频时长 - vidu_type=reference2video 且 1080p 且 duration=2","1.33","秒"
"viduq2","viduq2_audio and video direct output","音频数量 - vidu_type=reference2video 且 1080p 且 duration=2","0.46875","次"
"viduq2","Reference2Video-Q2-1080p-3s","视频时长 - vidu_type=reference2video 且 1080p 且 duration=3","0.99","秒"
"viduq2","viduq2_audio and video direct output","音频数量 - vidu_type=reference2video 且 1080p 且 duration=3","0.46875","次"
"viduq2","Reference2Video-Q2-1080p-4s","视频时长 - vidu_type=reference2video 且 1080p 且 duration=4","0.82","秒"
"viduq2","viduq2_audio and video direct output","音频数量 - vidu_type=reference2video 且 1080p 且 duration=4","0.46875","次"
"viduq2","Reference2Video-Q2-1080p-5s","视频时长 - vidu_type=reference2video 且 1080p 且 duration=5","0.718","秒"
"viduq2","viduq2_audio and video direct output","音频数量 - vidu_type=reference2video 且 1080p 且 duration=5","0.46875","次"
"viduq2","Reference2Video-Q2-1080p-6s","视频时长 - vidu_type=reference2video 且 1080p 且 duration=6","0.6516666667","秒"
"viduq2","viduq2_audio and video direct output","音频数量 - vidu_type=reference2video 且 1080p 且 duration=6","0.46875","次"
"viduq2","Reference2Video-Q2-1080p-7s","视频时长 - vidu_type=reference2video 且 1080p 且 duration=7","0.6028571429","秒"
"viduq2","viduq2_audio and video direct output","音频数量 - vidu_type=reference2video 且 1080p 且 duration=7","0.46875","次"
"viduq2","Reference2Video-Q2-1080p-8s","视频时长 - vidu_type=reference2video 且 1080p 且 duration=8","0.56625","秒"
"viduq2","viduq2_audio and video direct output","音频数量 - vidu_type=reference2video 且 1080p 且 duration=8","0.46875","次"
"viduq2","Reference2Video-Q2-1080p-9s","视频时长 - vidu_type=reference2video 且 1080p 且 duration=9","0.5733333334","秒"
"viduq2","viduq2_audio and video direct output","音频数量 - vidu_type=reference2video 且 1080p 且 duration=9","0.46875","次"
"viduq2","Reference2Video-Q2-540p-1s","视频时长 - vidu_type=reference2video 且 540p 且 duration=1","0.47","秒"
"viduq2","viduq2_audio and video direct output","音频数量 - vidu_type=reference2video 且 540p 且 duration=1","0.46875","次"
"viduq2","Reference2Video-Q2-540p-10s","视频时长 - vidu_type=reference2video 且 540p 且 duration=10","0.281","秒"
"viduq2","viduq2_audio and video direct output","音频数量 - vidu_type=reference2video 且 540p 且 duration=10","0.46875","次"
"viduq2","Reference2Video-Q2-540p-2s","视频时长 - vidu_type=reference2video 且 540p 且 duration=2","0.315","秒"
"viduq2","viduq2_audio and video direct output","音频数量 - vidu_type=reference2video 且 540p 且 duration=2","0.46875","次"
"viduq2","Reference2Video-Q2-540p-3s","视频时长 - vidu_type=reference2video 且 540p 且 duration=3","0.26","秒"
"viduq2","viduq2_audio and video direct output","音频数量 - vidu_type=reference2video 且 540p 且 duration=3","0.46875","次"
"viduq2","Reference2Video-Q2-540p-4s","视频时长 - vidu_type=reference2video 且 540p 且 duration=4","0.235","秒"
"viduq2","viduq2_audio and video direct output","音频数量 - vidu_type=reference2video 且 540p 且 duration=4","0.46875","次"
"viduq2","Reference2Video-Q2-540p-5s","视频时长 - vidu_type=reference2video 且 540p 且 duration=5","0.218","秒"
"viduq2","viduq2_audio and video direct output","音频数量 - vidu_type=reference2video 且 540p 且 duration=5","0.46875","次"
"viduq2","Reference2Video-Q2-540p-6s","视频时长 - vidu_type=reference2video 且 540p 且 duration=6","0.2083333334","秒"
"viduq2","viduq2_audio and video direct output","音频数量 - vidu_type=reference2video 且 540p 且 duration=6","0.46875","次"
"viduq2","Reference2Video-Q2-540p-7s","视频时长 - vidu_type=reference2video 且 540p 且 duration=7","0.2014285715","秒"
